,Mean,Median,Max,Min,Std. Dev,Skewness,Kurtosis,Observations,Jarque-Bera,JB p-value
CARBON,0.4194,0.3826,2.02529,0.1316,0.20008,2.47176,12.44187,3053,654508.20812,0.0
EURO_STOXX,0.1381,0.1217,0.71733,0.03151,0.07591,2.97479,14.95144,3053,654508.20812,0.0
BRENT_OIL,0.31936,0.2777,1.68321,0.07708,0.18526,2.87479,11.94084,3053,654508.20812,0.0
COAL_API,0.30419,0.23503,2.4781,0.04395,0.25829,3.96686,24.92968,3053,654508.20812,0.0
NATGAS,0.48837,0.3679,3.05453,0.05058,0.39379,2.23824,7.94461,3053,654508.20812,0.0
EUR_SOVER,0.04254,0.03619,0.13357,0.01306,0.02195,1.6006,2.66342,3053,654508.20812,0.0
EUR_CORP,0.02491,0.0194,0.11364,0.00713,0.01523,2.2088,6.18376,3053,654508.20812,0.0
SPX_INDEX,0.15547,0.13313,1.02196,0.05739,0.09413,4.76339,35.4656,3053,654508.20812,0.0
COM_EXENG,0.10779,0.10145,0.34224,0.04604,0.03698,2.20518,8.28166,3053,654508.20812,0.0
METALS,0.14743,0.13474,0.48573,0.04812,0.06092,1.73263,4.94919,3053,654508.20812,0.0
